Country,Month (YYYY-MM),Arrivals,Departures,No of holidays
Indonesia,2019-11,343394,343364,1
Malaysia,2019-11,294208,276244,1
Philippines,2019-11,125603,134604,4
Thailand,2019-11,268198,267407,0
Vietnam,2019-11,115505,116564,0
Mainland China,2019-11,283753,291946,0
Hong Kong,2019-11,111919,110116,0
Japan,2019-11,149539,155997,3
France,2019-11,17410,17436,2
Germany,2019-11,45538,47332,0
United Kingdom,2019-11,58387,59157,0
Indonesia,2019-10,360198,350115,0
Malaysia,2019-10,288091,271689,0
Philippines,2019-10,124152,120937,0
Thailand,2019-10,254709,248708,2
Vietnam,2019-10,112534,108159,0
Mainland China,2019-10,283940,310905,7
Hong Kong,2019-10,100904,110100,2
Japan,2019-10,143116,147486,2
France,2019-10,19459,16658,0
Germany,2019-10,58244,47226,1
United Kingdom,2019-10,70813,55059,0
Indonesia,2019-09,357916,346750,1
Malaysia,2019-09,287796,270585,3
Philippines,2019-09,117413,113999,0
Thailand,2019-09,233413,225001,0
Vietnam,2019-09,109045,108667,2
Mainland China,2019-09,294237,285457,1
Hong Kong,2019-09,96362,85842,1
Japan,2019-09,132561,146694,2
France,2019-09,18124,18395,0
Germany,2019-09,55031,53875,0
United Kingdom,2019-09,65884,66340,0
Indonesia,2019-08,361195,350443,2
Malaysia,2019-08,312594,284628,3
Philippines,2019-08,127656,122453,3
Thailand,2019-08,248222,237681,1
Vietnam,2019-08,123073,111444,1
Mainland China,2019-08,343870,369550,0
Hong Kong,2019-08,119737,129884,0
Japan,2019-08,149519,151982,1
France,2019-08,19227,19512,1
Germany,2019-08,55851,56231,0
United Kingdom,2019-08,72145,73047,0
Indonesia,2019-07,374571,397449,0
Malaysia,2019-07,303637,280360,1
Philippines,2019-07,125956,125074,0
Thailand,2019-07,256669,239380,3
Vietnam,2019-07,130461,122929,0
Mainland China,2019-07,351031,306015,0
Hong Kong,2019-07,147164,125369,1
Japan,2019-07,133197,120968,1
France,2019-07,20354,18830,1
Germany,2019-07,58117,52493,0
United Kingdom,2019-07,75467,70888,0
Indonesia,2019-06,352057,367509,6
Malaysia,2019-06,307525,304721,2
Philippines,2019-06,135889,135884,2
Thailand,2019-06,258318,252037,1
Vietnam,2019-06,127283,117480,0
Mainland China,2019-06,316202,300838,1
Hong Kong,2019-06,137364,126761,1
Japan,2019-06,141140,133398,0
France,2019-06,17518,18964,1
Germany,2019-06,46129,51304,1
United Kingdom,2019-06,62232,67287,0
Indonesia,2019-05,324970,309849,3
Malaysia,2019-05,288098,261169,3
Philippines,2019-05,147147,144051,2
Thailand,2019-05,240039,229736,4
Vietnam,2019-05,110837,105041,1
Mainland China,2019-05,279009,308650,3
Hong Kong,2019-05,120290,123936,3
Japan,2019-05,122146,141874,6
France,2019-05,15650,19051,3
Germany,2019-05,37717,52344,2
United Kingdom,2019-05,50749,67083,2
Indonesia,2019-04,328667,331993,3
Malaysia,2019-04,294130,270952,0
Philippines,2019-04,144857,136833,4
Thailand,2019-04,267618,246906,6
Vietnam,2019-04,116140,101753,5
Mainland China,2019-04,301389,288191,3
Hong Kong,2019-04,137615,127029,4
Japan,2019-04,139528,120571,2
France,2019-04,17124,18456,1
Germany,2019-04,45123,51857,2
United Kingdom,2019-04,57948,67372,1
Indonesia,2019-03,339787,338264,1
Malaysia,2019-03,294574,278688,0
Philippines,2019-03,123092,129054,0
Thailand,2019-03,275441,245015,0
Vietnam,2019-03,119478,107398,0
Mainland China,2019-03,292622,297833,0
Hong Kong,2019-03,139737,140892,0
Japan,2019-03,141802,156571,1
France,2019-03,16351,19039,0
Germany,2019-03,43061,52854,0
United Kingdom,2019-03,56906,67664,0
Indonesia,2019-02,289305,281322,1
Malaysia,2019-02,276106,245094,2
Philippines,2019-02,118596,108705,2
Thailand,2019-02,229904,215716,1
Vietnam,2019-02,106464,95906,9
Mainland China,2019-02,302273,313675,7
Hong Kong,2019-02,113745,125944,3
Japan,2019-02,129804,121869,1
France,2019-02,16152,14920,0
Germany,2019-02,42981,40332,0
United Kingdom,2019-02,56532,53072,0
Indonesia,2019-01,309369,337480,1
Malaysia,2019-01,268552,254925,0
Philippines,2019-01,146297,119446,1
Thailand,2019-01,259324,229295,1
Vietnam,2019-01,107675,99103,1
Mainland China,2019-01,305732,264269,1
Hong Kong,2019-01,143578,123988,1
Japan,2019-01,142404,131383,5
France,2019-01,18416,17327,1
Germany,2019-01,47582,45781,1
United Kingdom,2019-01,69668,60808,1
Indonesia,2018-12,371783,335372,2
Malaysia,2018-12,332237,324109,1
Philippines,2018-12,123531,152243,5
Thailand,2018-12,288588,279386,3
Vietnam,2018-12,118673,122906,1
Mainland China,2018-12,289667,283610,0
Hong Kong,2018-12,151577,149118,2
Japan,2018-12,155266,158565,3
France,2018-12,18208,17593,1
Germany,2018-12,49368,42421,2
United Kingdom,2018-12,70798,63662,2
Indonesia,2018-11,312409,312214,1
Malaysia,2018-11,287891,278953,1
Philippines,2018-11,116803,126652,4
Thailand,2018-11,255376,261939,0
Vietnam,2018-11,103399,106769,0
Mainland China,2018-11,248615,258311,0
Hong Kong,2018-11,138923,142360,0
Japan,2018-11,135191,140594,2
France,2018-11,17184,17106,2
Germany,2018-11,41198,42731,0
United Kingdom,2018-11,59668,61684,0
Indonesia,2018-10,336788,327138,0
Malaysia,2018-10,284342,268454,0
Philippines,2018-10,116845,111679,0
Thailand,2018-10,251299,244627,2
Vietnam,2018-10,103335,97290,0
Mainland China,2018-10,261306,280265,3
Hong Kong,2018-10,124071,133532,2
Japan,2018-10,130822,133238,1
France,2018-10,19854,16840,0
Germany,2018-10,51818,41105,1
United Kingdom,2018-10,75129,56534,0
Indonesia,2018-09,340328,324067,1
Malaysia,2018-09,277710,266019,2
Philippines,2018-09,108758,106301,0
Thailand,2018-09,228825,219137,0
Vietnam,2018-09,101193,101584,2
Mainland China,2018-09,271316,263632,1
Hong Kong,2018-09,119559,111210,1
Japan,2018-09,117087,126652,3
France,2018-09,18330,18996,0
Germany,2018-09,48615,48126,0
United Kingdom,2018-09,70994,73831,0
Indonesia,2018-08,351613,338526,2
Malaysia,2018-08,297297,280797,3
Philippines,2018-08,120609,112839,3
Thailand,2018-08,243170,240793,1
Vietnam,2018-08,118760,111135,0
Mainland China,2018-08,317446,343213,0
Hong Kong,2018-08,140527,149882,0
Japan,2018-08,132220,131574,1
France,2018-08,19168,19977,1
Germany,2018-08,50551,51012,0
United Kingdom,2018-08,76429,76181,0
Indonesia,2018-07,360295,392177,0
Malaysia,2018-07,294720,282751,0
Philippines,2018-07,118953,120204,0
Thailand,2018-07,257334,240145,3
Vietnam,2018-07,125391,121636,0
Mainland China,2018-07,330589,289603,0
Hong Kong,2018-07,146315,128375,2
Japan,2018-07,121668,112903,1
France,2018-07,20547,19007,1
Germany,2018-07,53599,46140,0
United Kingdom,2018-07,81117,74365,0
Indonesia,2018-06,360153,358285,11
Malaysia,2018-06,295742,291668,2
Philippines,2018-06,128156,127332,2
Thailand,2018-06,257421,251907,0
Vietnam,2018-06,120593,113400,0
Mainland China,2018-06,294432,275721,1
Hong Kong,2018-06,135556,123601,1
Japan,2018-06,124928,119625,0
France,2018-06,17036,18596,0
Germany,2018-06,38517,41422,0
United Kingdom,2018-06,62517,70969,0
Indonesia,2018-05,335489,336317,3
Malaysia,2018-05,278942,278570,3
Philippines,2018-05,137781,138356,2
Thailand,2018-05,252335,241774,3
Vietnam,2018-05,109385,106076,1
Mainland China,2018-05,262151,292337,1
Hong Kong,2018-05,119821,123491,2
Japan,2018-05,114321,120138,3
France,2018-05,14855,18400,4
Germany,2018-05,31965,39667,3
United Kingdom,2018-05,50295,65879,2
Indonesia,2018-04,342433,337949,1
Malaysia,2018-04,288871,268537,0
Philippines,2018-04,140191,130546,1
Thailand,2018-04,266301,244262,6
Vietnam,2018-04,114844,98172,2
Mainland China,2018-04,289868,276266,1
Hong Kong,2018-04,126617,127977,2
Japan,2018-04,127193,119974,2
France,2018-04,16286,18127,1
Germany,2018-04,35338,44475,1
United Kingdom,2018-04,51632,70950,0
Indonesia,2018-03,345498,345889,2
Malaysia,2018-03,296538,292727,0
Philippines,2018-03,119808,126795,3
Thailand,2018-03,277274,261899,1
Vietnam,2018-03,117296,111449,0
Mainland China,2018-03,273631,284687,0
Hong Kong,2018-03,140341,138315,2
Japan,2018-03,125022,140415,1
France,2018-03,16368,18775,0
Germany,2018-03,36868,39872,1
United Kingdom,2018-03,59819,63276,1
Indonesia,2018-02,282694,285111,1
Malaysia,2018-02,258977,261450,2
Philippines,2018-02,107585,100651,2
Thailand,2018-02,235198,225449,0
Vietnam,2018-02,95859,97579,7
Mainland China,2018-02,282746,300339,3
Hong Kong,2018-02,125105,126185,3
Japan,2018-02,116147,113153,2
France,2018-02,15907,14889,0
Germany,2018-02,32451,29086,0
United Kingdom,2018-02,52849,49901,0
Indonesia,2018-01,303695,324053,1
Malaysia,2018-01,274673,250915,0
Philippines,2018-01,135894,108961,1
Thailand,2018-01,270281,239346,2
Vietnam,2018-01,106501,95366,1
Mainland China,2018-01,271364,229943,1
Hong Kong,2018-01,136036,119835,1
Japan,2018-01,127111,113178,5
France,2018-01,18673,16243,1
Germany,2018-01,35770,33018,1
United Kingdom,2018-01,61526,55260,1
Indonesia,2017-12,341468,316178,2
Malaysia,2017-12,325974,322835,2
Philippines,2017-12,115193,143930,3
Thailand,2017-12,288020,286008,4
Vietnam,2017-12,115188,120573,0
Mainland China,2017-12,283422,278996,0
Hong Kong,2017-12,154909,151498,2
Japan,2017-12,144624,145538,2
France,2017-12,18013,17329,1
Germany,2017-12,35287,31863,2
United Kingdom,2017-12,59993,57066,2
Indonesia,2017-11,307334,302135,0
Malaysia,2017-11,278571,275175,0
Philippines,2017-11,109628,119605,2
Thailand,2017-11,257723,257484,0
Vietnam,2017-11,96510,101532,0
Mainland China,2017-11,248724,257884,0
Hong Kong,2017-11,139056,147727,0
Japan,2017-11,123444,130668,2
France,2017-11,16841,17209,2
Germany,2017-11,31359,33092,0
United Kingdom,2017-11,50862,52027,0
Indonesia,2017-10,314548,311738,0
Malaysia,2017-10,281748,269182,0
Philippines,2017-10,109135,105164,1
Thailand,2017-10,249238,239176,3
Vietnam,2017-10,100029,97534,0
Mainland China,2017-10,251188,268398,5
Hong Kong,2017-10,132207,144238,4
Japan,2017-10,116322,116404,1
France,2017-10,20040,15963,0
Germany,2017-10,40676,30107,2
United Kingdom,2017-10,64761,49320,0
Indonesia,2017-09,327701,314156,2
Malaysia,2017-09,262631,262753,5
Philippines,2017-09,100054,97973,1
Thailand,2017-09,229789,218028,0
Vietnam,2017-09,95690,93033,2
Mainland China,2017-09,246932,230558,0
Hong Kong,2017-09,130902,116594,0
Japan,2017-09,107075,111745,2
France,2017-09,17726,18005,0
Germany,2017-09,37404,36455,0
United Kingdom,2017-09,56360,60844,0
Indonesia,2017-08,342408,331376,1
Malaysia,2017-08,286201,271539,1
Philippines,2017-08,104415,102560,2
Thailand,2017-08,236990,233145,2
Vietnam,2017-08,103950,102900,0
Mainland China,2017-08,283220,312961,0
Hong Kong,2017-08,142150,157914,0
Japan,2017-08,116346,118550,1
France,2017-08,19516,20293,1
Germany,2017-08,37694,39054,0
United Kingdom,2017-08,56939,59520,0
Indonesia,2017-07,340888,391523,0
Malaysia,2017-07,281542,274837,0
Philippines,2017-07,110029,109987,0
Thailand,2017-07,253565,231727,3
Vietnam,2017-07,118394,111358,0
Mainland China,2017-07,311470,266361,0
Hong Kong,2017-07,159223,136045,1
Japan,2017-07,111469,100728,1
France,2017-07,21433,18698,1
Germany,2017-07,40878,35967,0
United Kingdom,2017-07,61786,60067,0
Indonesia,2017-06,337912,309322,3
Malaysia,2017-06,283947,277727,2
Philippines,2017-06,117232,119582,2
Thailand,2017-06,254786,252492,0
Vietnam,2017-06,111912,108926,0
Mainland China,2017-06,264024,257804,0
Hong Kong,2017-06,141704,135987,0
Japan,2017-06,108320,110039,0
France,2017-06,16589,19656,1
Germany,2017-06,30566,36404,1
United Kingdom,2017-06,51530,60191,0
Indonesia,2017-05,325385,328353,3
Malaysia,2017-05,275016,266497,2
Philippines,2017-05,128774,131166,1
Thailand,2017-05,248376,238268,3
Vietnam,2017-05,99427,98484,2
Mainland China,2017-05,236451,257217,4
Hong Kong,2017-05,134341,134305,3
Japan,2017-05,105735,108491,3
France,2017-05,16048,18806,3
Germany,2017-05,28513,35749,2
United Kingdom,2017-05,42505,55989,2
Indonesia,2017-04,333326,341023,2
Malaysia,2017-04,272647,265973,1
Philippines,2017-04,133850,127895,4
Thailand,2017-04,260989,245698,5
Vietnam,2017-04,99960,94188,1
Mainland China,2017-04,255355,253210,5
Hong Kong,2017-04,142400,136253,4
Japan,2017-04,118514,112702,1
France,2017-04,17361,19771,1
Germany,2017-04,31759,39486,2
United Kingdom,2017-04,47300,60961,1
Indonesia,2017-03,339952,325309,1
Malaysia,2017-03,276205,270990,0
Philippines,2017-03,117380,119274,0
Thailand,2017-03,269126,244216,0
Vietnam,2017-03,102567,98165,0
Mainland China,2017-03,243818,248150,0
Hong Kong,2017-03,146329,146303,0
Japan,2017-03,115925,130007,1
France,2017-03,16911,20295,0
Germany,2017-03,34072,39825,0
United Kingdom,2017-03,50101,59481,0
Indonesia,2017-02,288658,270594,0
Malaysia,2017-02,256697,226336,0
Philippines,2017-02,108201,99125,0
Thailand,2017-02,234650,207458,1
Vietnam,2017-02,95879,86541,1
Mainland China,2017-02,248052,269935,0
Hong Kong,2017-02,125406,141529,0
Japan,2017-02,111631,98196,1
France,2017-02,17305,15948,0
Germany,2017-02,33919,29405,0
United Kingdom,2017-02,49213,45151,0
Indonesia,2017-01,308766,344501,2
Malaysia,2017-01,259314,265543,3
Philippines,2017-01,139796,114849,3
Thailand,2017-01,244080,225114,2
Vietnam,2017-01,98670,96785,8
Mainland China,2017-01,296317,254192,4
Hong Kong,2017-01,161089,128291,6
Japan,2017-01,109393,106731,6
France,2017-01,18160,16417,1
Germany,2017-01,32906,32774,1
United Kingdom,2017-01,52431,53038,2
Indonesia,2016-12,365783,335360,3
Malaysia,2016-12,299391,304950,2
Philippines,2016-12,114681,144361,5
Thailand,2016-12,263169,267095,5
Vietnam,2016-12,106207,112961,0
Mainland China,2016-12,257605,258271,0
Hong Kong,2016-12,166616,165351,3
Japan,2016-12,134886,135511,2
France,2016-12,17134,16303,1
Germany,2016-12,33633,30436,2
United Kingdom,2016-12,54309,50928,3
Indonesia,2016-11,300660,300455,0
Malaysia,2016-11,257154,258320,0
Philippines,2016-11,103938,112434,2
Thailand,2016-11,218301,221313,0
Vietnam,2016-11,90792,96222,0
Mainland China,2016-11,217215,227352,0
Hong Kong,2016-11,141271,144740,0
Japan,2016-11,114281,118478,2
France,2016-11,15333,16999,2
Germany,2016-11,29710,29380,0
United Kingdom,2016-11,43361,46842,0
Indonesia,2016-10,319758,316342,1
Malaysia,2016-10,256392,254766,1
Philippines,2016-10,103821,99503,1
Thailand,2016-10,218518,213560,1
Vietnam,2016-10,88423,88146,0
Mainland China,2016-10,210307,226366,3
Hong Kong,2016-10,132063,138929,2
Japan,2016-10,113949,116800,1
France,2016-10,20294,15943,0
Germany,2016-10,37913,30584,1
United Kingdom,2016-10,57141,45360,0
Indonesia,2016-09,310179,301544,1
Malaysia,2016-09,248409,249239,3
Philippines,2016-09,93800,93794,2
Thailand,2016-09,206616,207122,0
Vietnam,2016-09,85822,89863,1
Mainland China,2016-09,212851,212385,3
Hong Kong,2016-09,133789,126896,1
Japan,2016-09,104219,112723,2
France,2016-09,17980,17709,0
Germany,2016-09,34139,32535,0
United Kingdom,2016-09,52207,58270,0
Indonesia,2016-08,332725,314934,1
Malaysia,2016-08,259607,246382,1
Philippines,2016-08,101353,97964,2
Thailand,2016-08,225691,204087,1
Vietnam,2016-08,97686,94336,0
Mainland China,2016-08,254098,283712,0
Hong Kong,2016-08,148520,161138,0
Japan,2016-08,119655,119815,1
France,2016-08,19941,20430,1
Germany,2016-08,35865,34643,0
United Kingdom,2016-08,58511,64941,0
Indonesia,2016-07,327281,371216,6
Malaysia,2016-07,264408,260258,3
Philippines,2016-07,106747,104073,1
Thailand,2016-07,247904,232245,3
Vietnam,2016-07,108500,104565,0
Mainland China,2016-07,284457,245807,0
Hong Kong,2016-07,170836,150036,1
Japan,2016-07,114104,105279,1
France,2016-07,21919,19344,1
Germany,2016-07,35346,30573,0
United Kingdom,2016-07,66035,59413,0
Indonesia,2016-06,325245,307644,0
Malaysia,2016-06,256080,257931,1
Philippines,2016-06,110994,113819,1
Thailand,2016-06,236316,230434,0
Vietnam,2016-06,100447,97516,0
Mainland China,2016-06,240398,229889,3
Hong Kong,2016-06,156381,147022,1
Japan,2016-06,109984,109605,0
France,2016-06,15828,19436,0
Germany,2016-06,25854,30805,0
United Kingdom,2016-06,46055,57778,0
Indonesia,2016-05,317242,319954,4
Malaysia,2016-05,262409,252424,2
Philippines,2016-05,128979,126628,2
Thailand,2016-05,249849,231026,6
Vietnam,2016-05,95463,94565,2
Mainland China,2016-05,210377,236454,2
Hong Kong,2016-05,152607,152754,3
Japan,2016-05,111875,116677,3
France,2016-05,15853,19738,4
Germany,2016-05,24218,30143,3
United Kingdom,2016-05,38055,48888,2
Indonesia,2016-04,289167,295459,0
Malaysia,2016-04,246072,238836,0
Philippines,2016-04,130245,118290,1
Thailand,2016-04,260779,239207,4
Vietnam,2016-04,97425,88952,1
Mainland China,2016-04,234657,234186,3
Hong Kong,2016-04,152355,155634,1
Japan,2016-04,126390,117097,1
France,2016-04,16743,19802,0
Germany,2016-04,24649,31980,0
United Kingdom,2016-04,36286,55966,0
Indonesia,2016-03,304817,301809,2
Malaysia,2016-03,262056,257838,0
Philippines,2016-03,114345,119847,3
Thailand,2016-03,271823,252580,0
Vietnam,2016-03,97842,93615,0
Mainland China,2016-03,223814,223340,0
Hong Kong,2016-03,166477,157695,3
Japan,2016-03,120844,139487,2
France,2016-03,14882,19010,1
Germany,2016-03,28136,32729,2
United Kingdom,2016-03,48788,53048,1
Indonesia,2016-02,268355,268906,1
Malaysia,2016-02,246225,237642,2
Philippines,2016-02,107571,100457,2
Thailand,2016-02,230720,222885,1
Vietnam,2016-02,89928,86077,7
Mainland China,2016-02,244746,263343,5
Hong Kong,2016-02,143911,150986,3
Japan,2016-02,113219,111124,1
France,2016-02,15643,14839,0
Germany,2016-02,27266,25255,0
United Kingdom,2016-02,44883,43265,0
Indonesia,2016-01,279840,295912,1
Malaysia,2016-01,241990,229464,0
Philippines,2016-01,136563,104780,2
Thailand,2016-01,255251,220545,1
Vietnam,2016-01,94262,86825,1
Mainland China,2016-01,224915,195632,1
Hong Kong,2016-01,162489,141698,1
Japan,2016-01,118555,107665,5
France,2016-01,17442,13317,1
Germany,2016-01,29516,29436,1
United Kingdom,2016-01,55836,50089,1
Indonesia,2015-12,331387,302910,4
Malaysia,2015-12,284598,286633,2
Philippines,2015-12,109090,140383,4
Thailand,2015-12,270512,272784,6
Vietnam,2015-12,95244,104896,0
Mainland China,2015-12,211983,213327,0
Hong Kong,2015-12,176149,174793,2
Japan,2015-12,132647,137173,2
France,2015-12,15090,15725,1
Germany,2015-12,29114,25895,2
United Kingdom,2015-12,55128,48595,3
Indonesia,2015-11,274868,280179,0
Malaysia,2015-11,240998,244217,0
Philippines,2015-11,103309,108769,4
Thailand,2015-11,232068,234926,0
Vietnam,2015-11,82865,87372,0
Mainland China,2015-11,188570,202382,0
Hong Kong,2015-11,155309,163178,0
Japan,2015-11,117713,125167,2
France,2015-11,14520,14814,2
Germany,2015-11,27597,26191,0
United Kingdom,2015-11,45990,43753,0
Indonesia,2015-10,298020,287826,1
Malaysia,2015-10,231849,232170,1
Philippines,2015-10,102741,99513,0
Thailand,2015-10,222996,219466,1
Vietnam,2015-10,83757,81201,0
Mainland China,2015-10,193465,211780,7
Hong Kong,2015-10,143425,154715,2
Japan,2015-10,117686,120818,1
France,2015-10,19219,15137,0
Germany,2015-10,35931,28790,1
United Kingdom,2015-10,58386,41227,0
Indonesia,2015-09,290259,286818,1
Malaysia,2015-09,230959,232586,3
Philippines,2015-09,97417,94948,1
Thailand,2015-09,190988,190939,0
Vietnam,2015-09,81746,84213,1
Mainland China,2015-09,195301,191859,2
Hong Kong,2015-09,143626,133349,2
Japan,2015-09,107578,117361,3
France,2015-09,17597,19199,0
Germany,2015-09,32317,33744,0
United Kingdom,2015-09,52506,54134,0
Indonesia,2015-08,318616,305892,1
Malaysia,2015-08,254747,243921,1
Philippines,2015-08,108144,101706,2
Thailand,2015-08,218523,205187,1
Vietnam,2015-08,95811,92636,0
Mainland China,2015-08,238671,260644,0
Hong Kong,2015-08,171127,185117,0
Japan,2015-08,128362,130633,0
France,2015-08,21996,22627,1
Germany,2015-08,35752,33838,0
United Kingdom,2015-08,57384,58302,0
Indonesia,2015-07,305283,339964,5
Malaysia,2015-07,240410,240414,2
Philippines,2015-07,102622,97680,1
Thailand,2015-07,229653,217209,2
Vietnam,2015-07,102411,98117,0
Mainland China,2015-07,252910,214763,0
Hong Kong,2015-07,175829,156457,1
Japan,2015-07,115818,113948,1
France,2015-07,23077,21219,1
Germany,2015-07,34524,31760,0
United Kingdom,2015-07,61997,57057,0
Indonesia,2015-06,324345,310793,1
Malaysia,2015-06,256194,248504,1
Philippines,2015-06,110618,110284,1
Thailand,2015-06,239711,227762,1
Vietnam,2015-06,95923,92833,0
Mainland China,2015-06,207888,197467,3
Hong Kong,2015-06,157735,147878,1
Japan,2015-06,109238,106970,0
France,2015-06,17105,20693,0
Germany,2015-06,26437,31133,0
United Kingdom,2015-06,48804,56341,0
Indonesia,2015-05,298532,303026,3
Malaysia,2015-05,230115,237619,2
Philippines,2015-05,126227,125447,1
Thailand,2015-05,217988,212240,4
Vietnam,2015-05,83076,88592,1
Mainland China,2015-05,177674,201498,3
Hong Kong,2015-05,141810,149272,2
Japan,2015-05,96700,106186,4
France,2015-05,14854,18961,4
Germany,2015-05,24514,29875,3
United Kingdom,2015-05,38865,49455,2
Indonesia,2015-04,271819,274031,1
Malaysia,2015-04,222306,217573,0
Philippines,2015-04,125423,113668,4
Thailand,2015-04,218425,210081,4
Vietnam,2015-04,89067,77846,4
Mainland China,2015-04,196745,186017,3
Hong Kong,2015-04,142431,145299,5
Japan,2015-04,111263,103715,1
France,2015-04,15110,17804,1
Germany,2015-04,23457,32355,2
United Kingdom,2015-04,39202,54775,1
Indonesia,2015-03,279355,276699,1
Malaysia,2015-03,238933,231365,0
Philippines,2015-03,107560,112218,0
Thailand,2015-03,232179,221752,1
Vietnam,2015-03,92293,86420,0
Mainland China,2015-03,186308,201606,0
Hong Kong,2015-03,150838,155055,0
Japan,2015-03,116179,128849,1
France,2015-03,15404,18757,0
Germany,2015-03,29245,32736,0
United Kingdom,2015-03,45794,50899,0
