Date,Event
2000-01-01,New Year’s Day
2000-01-08,Hari Raya Puasa
2000-02-05,Chinese New Year's Day
2000-02-07,Second Day of Chinese New Year
2000-03-16,Hari Raya Haji
2000-04-21,Good Friday
2000-05-01,Labour Day
2000-05-18,Vesak Day
2000-08-09,National Day
2000-10-26,Diwali/Deepavali
2000-12-25,Christmas Day
2001-01-01,New Year’s Day
2001-01-24,Chinese New Year's Day
2001-01-25,Second Day of Chinese New Year
2001-03-06,Hari Raya Haji
2001-04-13,Good Friday
2001-05-01,Labour Day
2001-05-07,Vesak Day
2001-08-09,National Day
2001-11-14,Diwali/Deepavali
2001-12-16,Hari Raya Puasa
2001-12-17,'Hari Raya Puasa' observed
2001-12-25,Christmas Day
2002-01-01,New Year’s Day
2002-02-12,Chinese New Year's Day
2002-02-13,Second Day of Chinese New Year
2002-02-23,Hari Raya Haji
2002-03-29,Good Friday
2002-05-01,Labour Day
2002-05-27,'Vesak Day' day off
2002-08-09,National Day
2002-11-04,'Diwali/Deepavali' day off
2002-12-06,Hari Raya Puasa
2002-12-25,Christmas Day
2003-01-01,New Year’s Day
2003-02-01,Chinese New Year's Day
2003-02-03,Second Day of Chinese New Year
2003-02-12,Hari Raya Haji
2003-04-18,Good Friday
2003-05-01,Labour Day
2003-05-15,Vesak Day
2003-08-09,National Day
2003-10-23,Diwali/Deepavali
2003-11-25,Hari Raya Puasa
2003-12-25,Christmas Day
2004-01-01,New Year’s Day
2004-01-22,Chinese New Year's Day
2004-01-23,Second Day of Chinese New Year
2004-02-01,Hari Raya Haji
2004-02-02,'Hari Raya Haji' observed
2004-04-09,Good Friday
2004-05-01,Labour Day
2004-06-02,Vesak Day
2004-08-09,National Day
2004-11-11,Diwali/Deepavali
2004-11-14,Hari Raya Puasa
2004-11-15,'Hari Raya Puasa' observed
2004-12-25,Christmas Day
2005-01-01,New Year’s Day
2005-01-21,Hari Raya Haji
2005-02-09,Chinese New Year's Day
2005-02-10,Second Day of Chinese New Year
2005-03-25,Good Friday
2005-05-02,'Labour Day' day off
2005-05-23,'Vesak Day' day off
2005-08-09,National Day
2005-11-01,Diwali/Deepavali
2005-11-03,Hari Raya Puasa
2005-12-26,'Christmas Day' day off
2006-01-01,New Year’s Day
2006-01-02,'New Year’s Day' observed
2006-01-10,Hari Raya Haji
2006-01-30,Chinese New Year's Day
2006-01-30,Second Day of Chinese New Year
2006-04-14,Good Friday
2006-05-01,Labour Day
2006-05-12,Vesak Day
2006-08-09,National Day
2006-10-21,Diwali/Deepavali
2006-10-24,Hari Raya Puasa
2006-12-25,Christmas Day
2007-01-01,New Year’s Day
2007-02-19,Chinese New Year's Day
2007-02-19,Second Day of Chinese New Year
2007-04-06,Good Friday
2007-05-01,Labour Day
2007-05-31,Vesak Day
2007-08-09,National Day
2007-10-13,Hari Raya Puasa
2007-11-08,Diwali/Deepavali
2007-12-25,Christmas Day
2007-12-27,Hari Raya Haji
2008-01-01,New Year’s Day
2008-02-07,Chinese New Year's Day
2008-02-08,Second Day of Chinese New Year
2008-03-21,Good Friday
2008-05-01,Labour Day
2008-05-19,Vesak Day
2008-08-09,National Day
2008-10-01,Hari Raya Puasa
2008-10-27,Diwali/Deepavali
2008-12-08,Hari Raya Haji
2008-12-25,Christmas Day
2009-01-01,New Year’s Day
2009-01-26,Chinese New Year's Day
2009-01-27,Second Day of Chinese New Year
2009-04-10,Good Friday
2009-05-01,Labour Day
2009-05-09,Vesak Day
2009-08-09,National Day
2009-08-10,'National Day' observed
2009-09-20,Hari Raya Puasa
2009-09-21,'Hari Raya Puasa' observed
2009-11-16,'Diwali/Deepavali' day off
2009-11-27,Hari Raya Haji
2009-12-25,Christmas Day
2010-01-01,New Year’s Day
2010-02-14,Chinese New Year's Day
2010-02-15,Second Day of Chinese New Year
2010-02-16,Lunar New Year Public Holiday
2010-04-02,Good Friday
2010-05-01,Labour Day
2010-05-28,Vesak Day
2010-08-09,National Day
2010-09-10,Hari Raya Puasa
2010-11-05,Diwali/Deepavali
2010-11-17,Hari Raya Haji
2010-12-25,Christmas Day
2011-01-01,New Year’s Day
2011-02-03,Chinese New Year's Day
2011-02-04,Second Day of Chinese New Year
2011-04-22,Good Friday
2011-05-02,'Labour Day' day off
2011-05-17,Vesak Day
2011-08-09,National Day
2011-08-30,Hari Raya Puasa
2011-10-26,Diwali/Deepavali
2011-11-06,Hari Raya Haji
2011-11-07,'Hari Raya Haji' observed
2011-12-26,'Christmas Day' day off
2012-01-01,New Year’s Day
2012-01-02,'New Year’s Day' observed
2012-01-23,Chinese New Year's Day
2012-01-24,Second Day of Chinese New Year
2012-04-06,Good Friday
2012-05-01,Labour Day
2012-05-05,Vesak Day
2012-08-09,National Day
2012-08-19,Hari Raya Puasa
2012-08-20,'Hari Raya Puasa' observed
2012-10-26,Hari Raya Haji
2012-11-13,Diwali/Deepavali
2012-12-25,Christmas Day
2013-01-01,New Year’s Day
2013-02-10,Chinese New Year's Day
2013-02-11,Second Day of Chinese New Year
2013-02-12,Lunar New Year Public Holiday
2013-03-29,Good Friday
2013-05-01,Labour Day
2013-05-24,Vesak Day
2013-08-08,Hari Raya Puasa
2013-08-09,National Day
2013-10-15,Hari Raya Haji
2013-11-02,Diwali/Deepavali
2013-12-25,Christmas Day
2014-01-01,New Year’s Day
2014-01-31,Chinese New Year's Day
2014-02-01,Second Day of Chinese New Year
2014-04-18,Good Friday
2014-05-01,Labour Day
2014-05-13,Vesak Day
2014-07-28,Hari Raya Puasa
2014-08-09,National Day
2014-10-05,Hari Raya Haji
2014-10-06,'Hari Raya Haji' observed
2014-10-22,Diwali/Deepavali
2014-12-25,Christmas Day
2015-01-01,New Year’s Day
2015-02-19,Chinese New Year's Day
2015-02-20,Second Day of Chinese New Year
2015-04-03,Good Friday
2015-05-01,Labour Day
2015-06-01,Vesak Day
2015-07-17,Hari Raya Puasa
2015-08-07,SG50 Public Holiday
2015-08-09,National Day
2015-08-10,'National Day' observed
2015-09-11,2015 Polling Day
2015-09-24,Hari Raya Haji
2015-11-10,Diwali/Deepavali
2015-12-25,Christmas Day
2016-01-01,New Year’s Day
2016-02-08,Chinese New Year's Day
2016-02-09,Second Day of Chinese New Year
2016-03-25,Good Friday
2016-05-02,'Labour Day' day off
2016-05-21,Vesak Day
2016-07-06,Hari Raya Puasa
2016-08-09,National Day
2016-09-12,Hari Raya Haji
2016-10-29,Diwali/Deepavali
2016-12-26,'Christmas Day' day off
2017-01-01,New Year’s Day
2017-01-02,'New Year’s Day' observed
2017-01-28,Chinese New Year's Day
2017-01-29,Second Day of Chinese New Year
2017-01-30,Chinese New Year Holiday
2017-04-14,Good Friday
2017-05-01,Labour Day
2017-05-10,Vesak Day
2017-06-25,Hari Raya Puasa
2017-06-26,'Hari Raya Puasa' observed
2017-08-09,National Day
2017-09-01,Hari Raya Haji
2017-10-18,Diwali/Deepavali
2017-12-25,Christmas Day
2018-01-01,New Year’s Day
2018-02-16,Chinese New Year's Day
2018-02-17,Second Day of Chinese New Year
2018-03-30,Good Friday
2018-05-01,Labour Day
2018-05-29,Vesak Day
2018-06-15,Hari Raya Puasa
2018-08-09,National Day
2018-08-22,Hari Raya Haji
2018-11-06,Diwali/Deepavali
2018-12-25,Christmas Day
2019-01-01,New Year’s Day
2019-02-05,Chinese New Year's Day
2019-02-06,Second Day of Chinese New Year
2019-04-19,Good Friday
2019-05-01,Labour Day
2019-05-20,'Vesak Day' day off
2019-06-05,Hari Raya Puasa
2019-08-09,National Day
2019-08-11,Hari Raya Haji
2019-08-12,'Hari Raya Haji' observed
2019-10-28,'Diwali/Deepavali' day off
2019-12-25,Christmas Day
